Nature;Code;Definition (Type of aid to navigation)
;0;Default, Type of AtoN not specified
;1;Reference point
;2;RACON
;3;Fixed structures off-shore
;4;Emergency Wreck Marking Buoy
Fixed AtoN;5;Light, without sectors
Fixed AtoN;6;Light, with sectors
Fixed AtoN;7;Leading Light Front
Fixed AtoN;8;Leading Light Rear
Fixed AtoN;9;Beacon, Cardinal N
Fixed AtoN;10;Beacon, Cardinal E
Fixed AtoN;11;Beacon, Cardinal S
Fixed AtoN;12;Beacon, Cardinal W
Fixed AtoN;13;Beacon, Port hand
Fixed AtoN;14;Beacon, Starboard hand
Fixed AtoN;15;Beacon, Preferred Channel port hand
Fixed AtoN;16;Beacon, Preferred Channel starboard hand
Fixed AtoN;17;Beacon, Isolated danger
Fixed AtoN;18;Beacon, Safe water
Fixed AtoN;19;Beacon, Special mark
Floating AtoN;20;Cardinal Mark N
Floating AtoN;21;Cardinal Mark E
Floating AtoN;22;Cardinal Mark S
Floating AtoN;23;Cardinal Mark W
Floating AtoN;24;Port hand Mark
Floating AtoN;25;Starboard hand Mark
Floating AtoN;26;Preferred Channel Port hand
Floating AtoN;27;Preferred Channel Starboard hand
Floating AtoN;28;Isolated danger
Floating AtoN;29;Safe Water
Floating AtoN;30;Special Mark
Floating AtoN;31;Light Vessel/LANBY/Rigs
